1;temps;38463;1;;;;;;;;;;;;;;;;;;;;;;
2;jour;36202;0,941216234;;;;;;;;;;;;;;;;;;;;;;
3;an;35181;0,914671242;;;;;;;;;;;;;;;;;;;;;;
4;site;35055;0,911395367;;;;;;;;;;;;;;;;;;;;;;
5;jeu;32633;0,84842576;;;;;;;;;;;;;;;;;;;;;;
6;foi|fois;30853;0,802147518;;;;;;;;;;;;;;;;;;;;;;
7;monde;29863;0,776408496;;;;;;;;;;;;;;;;;;;;;;
8;année;29274;0,761095078;;;;;;;;;;;;;;;;;;;;;;
9;vie;27457;0,713854874;;;;;;;;;;;;;;;;;;;;;;
10;chose;27341;0,710838988;;;;;;;;;;;;;;;;;;;;;;
11;homme;26059;0,677508255;;;;;;;;;;;;;;;;;;;;;;
12;cas;22778;0,592205496;;;;;;;;;;;;;;;;;;;;;;
13;ligne;22722;0,590749552;;;;;;;;;;;;;;;;;;;;;;
14;pays;22495;0,584847776;;;;;;;;;;;;;;;;;;;;;;
15;travail;22109;0,574812157;;;;;;;;;;;;;;;;;;;;;;
16;enfant;21094;0,54842316;;;;;;;;;;;;;;;;;;;;;;
17;service;21053;0,5473572;;;;;;;;;;;;;;;;;;;;;;
18;France;20868;0,542547383;;;;;;;;;;;;;;;;;;;;;;
19;question;20518;0,533447729;;;;;;;;;;;;;;;;;;;;;;
20;femme;20249;0,526453995;;;;;;;;;;;;;;;;;;;;;;
21;place;19761;0,513766477;;;;;;;;;;;;;;;;;;;;;;
22;effet;19206;0,499337025;;;;;;;;;;;;;;;;;;;;;;
23;point;18726;0,486857499;;;;;;;;;;;;;;;;;;;;;;
24;maison;18503;0,48105972;;;;;;;;;;;;;;;;;;;;;;
25;casino;18471;0,480227751;;;;;;;;;;;;;;;;;;;;;;
26;moment;17915;0,465772301;;;;;;;;;;;;;;;;;;;;;;
27;groupe;17581;0,457088631;;;;;;;;;;;;;;;;;;;;;;
28;besoin;17287;0,449444921;;;;;;;;;;;;;;;;;;;;;;
29;entreprise;17188;0,446871019;;;;;;;;;;;;;;;;;;;;;;
30;moi|mois;16649;0,432857551;;;;;;;;;;;;;;;;;;;;;;
31;suite;16570;0,430803629;;;;;;;;;;;;;;;;;;;;;;
32;web;16182;0,420716013;;;;;;;;;;;;;;;;;;;;;;
33;lieu;16000;0,415984193;;;;;;;;;;;;;;;;;;;;;;
34;partie;15913;0,413722279;;;;;;;;;;;;;;;;;;;;;;
35;heure;15708;0,408392481;;;;;;;;;;;;;;;;;;;;;;
36;droit;15424;0,401008762;;;;;;;;;;;;;;;;;;;;;;
37;part;15376;0,399760809;;;;;;;;;;;;;;;;;;;;;;
38;prix;15080;0,392065102;;;;;;;;;;;;;;;;;;;;;;
39;niveau;14918;0,387853262;;;;;;;;;;;;;;;;;;;;;;
40;article;14874;0,386709305;;;;;;;;;;;;;;;;;;;;;;
41;raison;14845;0,385955334;;;;;;;;;;;;;;;;;;;;;;
42;projet;14824;0,385409354;;;;;;;;;;;;;;;;;;;;;;
43;probl?me;14613;0,379923563;;;;;;;;;;;;;;;;;;;;;;
44;syst?me;14612;0,379897564;;;;;;;;;;;;;;;;;;;;;;
45;produit;14594;0,379429582;;;;;;;;;;;;;;;;;;;;;;
46;main;14563;0,378623612;;;;;;;;;;;;;;;;;;;;;;
47;information;14433;0,375243741;;;;;;;;;;;;;;;;;;;;;;
48;nombre;14401;0,374411772;;;;;;;;;;;;;;;;;;;;;;
49;histoire;14317;0,372227855;;;;;;;;;;;;;;;;;;;;;;
50;recherche;14309;0,372019863;;;;;;;;;;;;;;;;;;;;;;
51;fin;14229;0,369939942;;;;;;;;;;;;;;;;;;;;;;
52;gens;14155;0,368016015;;;;;;;;;;;;;;;;;;;;;;
53;exemple;13986;0,363622182;;;;;;;;;;;;;;;;;;;;;;
54;nom;13830;0,359566336;;;;;;;;;;;;;;;;;;;;;;
55;ville;13669;0,355380496;;;;;;;;;;;;;;;;;;;;;;
56;conseil;13396;0,348282765;;;;;;;;;;;;;;;;;;;;;;
57;eau;13393;0,348204768;;;;;;;;;;;;;;;;;;;;;;
58;internet;13362;0,347398799;;;;;;;;;;;;;;;;;;;;;;
59;société;13208;0,343394951;;;;;;;;;;;;;;;;;;;;;;
60;rapport;13185;0,342796974;;;;;;;;;;;;;;;;;;;;;;
61;façon;13052;0,339339105;;;;;;;;;;;;;;;;;;;;;;
62;cour|cours;13016;0,338403141;;;;;;;;;;;;;;;;;;;;;;
63;?il;12819;0,333281335;;;;;;;;;;;;;;;;;;;;;;
64;famille;12640;0,328627512;;;;;;;;;;;;;;;;;;;;;;
65;coup;12550;0,326287601;;;;;;;;;;;;;;;;;;;;;;
66;joueur;12379;0,32184177;;;;;;;;;;;;;;;;;;;;;;
67;semaine;12358;0,321295791;;;;;;;;;;;;;;;;;;;;;;
68;idée;12144;0,315732002;;;;;;;;;;;;;;;;;;;;;;
69;page;12024;0,312612121;;;;;;;;;;;;;;;;;;;;;;
70;argent;11978;0,311416166;;;;;;;;;;;;;;;;;;;;;;
71;type;11929;0,310142215;;;;;;;;;;;;;;;;;;;;;;
72;président;11860;0,308348283;;;;;;;;;;;;;;;;;;;;;;
73;mesure;11797;0,306710345;;;;;;;;;;;;;;;;;;;;;;
74;dieu;11570;0,300808569;;;;;;;;;;;;;;;;;;;;;;
75;marché;11542;0,300080597;;;;;;;;;;;;;;;;;;;;;;
76;fille;11488;0,29867665;;;;;;;;;;;;;;;;;;;;;;
77;t?te;11447;0,297610691;;;;;;;;;;;;;;;;;;;;;;
78;côté;11442;0,297480696;;;;;;;;;;;;;;;;;;;;;;
79;sujet;11419;0,296882718;;;;;;;;;;;;;;;;;;;;;;
80;compte;11373;0,295686764;;;;;;;;;;;;;;;;;;;;;;
81;activité;11339;0,294802797;;;;;;;;;;;;;;;;;;;;;;
82;forme;11319;0,294282817;;;;;;;;;;;;;;;;;;;;;;
83;face;11207;0,291370928;;;;;;;;;;;;;;;;;;;;;;
84;programme;11129;0,289343005;;;;;;;;;;;;;;;;;;;;;;
